"ID","Name","Provider","Category","Auth","Limits","Description","Website"
"168","iTunes Search API","Apple","Music & Multimedia","NONE","2,000 / day","Search Apple Music  podcasts  movies  books. No key required.","https://affiliate.itunes.apple.com/resources/documentation/itunes-store-web-service-search-api"
"177","Lyrics.ovh","Community","Music & Multimedia","NONE","❌ No Limit","Simple lyrics API. Artist and title  get lyrics. That's it.","https://lyricsovh.docs.apiary.io"
"178","TVmaze","TVmaze","Music & Multimedia","NONE","❌ No Limit","Complete TV show database with episodes  cast  and schedules.","https://www.tvmaze.com"
"178","TVmaze","TVmaze","Music & Multimedia","NONE","❌ No Limit","TV show database. Episodes  schedules  cast  ratings  streaming info.","https://www.tvmaze.com"
"215","IP-API","Community","DevTools & Infrastructure","NONE","45 req / min","IP geolocation without API key. Simple and fast.","http://ip-api.com"
"215","IP-API","Community","DevTools & Infrastructure","NONE","45 req / min","IP geolocation. Country  city  ISP  coordinates  timezone from IP address.","https://ip-api.com"
"221","Postman Echo","Postman","DevTools & Infrastructure","NONE","1 million / day","Test HTTP requests. Echoes back your request data. Perfect for debugging.","https://postman-echo.com"
"221","Postman Echo","Postman","DevTools & Infrastructure","NONE","1 million / day","HTTP request testing service. Echo requests  test auth  cookies  headers.","https://postman-echo.com"
"263","SpaceX API","r-spacex","Gov, Science & World","NONE","❌ No Limit","Unofficial SpaceX API with launches  rockets  and history.","https://github.com/r-spacex/SpaceX-API"
"264","USGS Earthquakes","US Govt","Gov, Science & World","NONE","❌ No Limit","Real-time worldwide earthquake data from USGS.","https://earthquake.usgs.gov"
"264","USGS Earthquake","US Geological Survey","Gov, Science & World","NONE","❌ No Limit","Real-time earthquake data. Global seismic activity from past hour to 30 days.","https://earthquake.usgs.gov"
"265","World Bank","World Bank Group","Gov, Science & World","NONE","❌ High","Global development indicators. GDP  poverty  health  education data for 200+ countries.","https://data.worldbank.org"
"266","REST Countries","Community","Gov, Science & World","NONE","❌ No Limit","Information about every country: flags  population  borders  languages.","https://restcountries.com"
"267","Open-Meteo","Open-Meteo","Gov, Science & World","NONE","10,000 / day","Free weather API with no API key required. Open source and fast.","https://open-meteo.com"
"270","Sunrise-Sunset","Community","Gov, Science & World","NONE","❌ No Limit","Sunrise  sunset  twilight times for any location. Solar noon  day length.","https://sunrise-sunset.org"
"271","Met Museum","Metropolitan Museum","Gov, Science & World","NONE","❌ No Limit","Access 470 000 artworks from The Met collection. Public domain images.","https://metmuseum.github.io"
"272","Google Books","Google","Gov, Science & World","NONE","❌ High","Search 40M+ books. Metadata  previews  reviews  ISBN lookup.","https://books.google.com"
"273","Open Library","Internet Archive","Gov, Science & World","NONE","❌ No Limit","Open library catalog. Book metadata  covers  author info  reading logs.","https://openlibrary.org"
"274","Wikipedia API","Wikimedia","Gov, Science & World","NONE","❌ High","Official MediaWiki API for Wikipedia content. Search and fetch articles.","https://www.mediawiki.org/wiki/API:Main_page"
